                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84329,                 2.2316,                 1.2104,                0.63324,                0.60464,                0.65697,                0.47097,                0.99313,                 2.2528,                  1.471,             0.00041035,             0.00041035,             0.00041035
                      2,                0.88708,                 1.4893,                  1.231,                0.59381,                0.66937,                  0.693,                0.48882,                0.95391,                 2.4429,                 1.3579,             0.00081883,             0.00081883,             0.00081883
